FILENAME,LIBRARY,SUPPLIER,URL
birds_outside_002_wide.wav,European Ambiances,3maze,http://www.sonniss.com/sound-effects/european-ambiances/
busy_dining_room_002.wav,European Ambiances,3maze,http://www.sonniss.com/sound-effects/european-ambiances/
madrid_food_market_busy_001.wav,European Ambiances,3maze,http://www.sonniss.com/sound-effects/european-ambiances/
rain_umbrella_001_wide.wav,European Ambiances,3maze,http://www.sonniss.com/sound-effects/european-ambiances/
50s_elevator_ride_down_001.wav,The Elevator,3maze,http://www.sonniss.com/sound-effects/elevator/
elevator_mechanism_002_wide.wav,The Elevator,3maze,http://www.sonniss.com/sound-effects/elevator/
elevator_mechanism_005_wide.wav,The Elevator,3maze,http://www.sonniss.com/sound-effects/elevator/
soviet_elevator_door_close_001.wav,The Elevator,3maze,http://www.sonniss.com/sound-effects/elevator/
Magic Effect-000.wav,Groats Part1,Alexander Ahura,http://www.sonniss.com/sound-effects/groats-part1/
Pearl Barley Open Package-001.wav,Groats Part1,Alexander Ahura,http://www.sonniss.com/sound-effects/groats-part1/
Peas Into Glass Cup-019.wav,Groats Part1,Alexander Ahura,http://www.sonniss.com/sound-effects/groats-part1/
Sugar Into Cardboard Cup-012.wav,Groats Part1,Alexander Ahura,http://www.sonniss.com/sound-effects/groats-part1/
Lock01_outdoor_opening_lite03.wav,Locks & Keys,Alexander Ahura,http://www.sonniss.com/sound-effects/lockskeys/
Lock02_scratch02.wav,Locks & Keys,Alexander Ahura,http://www.sonniss.com/sound-effects/lockskeys/
Lock03_outdoor_opening_solid03.wav,Locks & Keys,Alexander Ahura,http://www.sonniss.com/sound-effects/lockskeys/
Lock04_outdoor_opening_lite04.wav,Locks & Keys,Alexander Ahura,http://www.sonniss.com/sound-effects/lockskeys/
dry hard metal grind 09.wav,Black Metal,Alexander Kopeikin,http://www.sonniss.com/sound-effects/black-metal/
dry hard sheet metal movement 05.wav,Black Metal,Alexander Kopeikin,http://www.sonniss.com/sound-effects/black-metal/
"metal, heavy creaks, shipwreck, ship scraping its broadside 02.wav",Black Metal,Alexander Kopeikin,http://www.sonniss.com/sound-effects/black-metal/
steel frame dragged long 03.wav,Black Metal,Alexander Kopeikin,http://www.sonniss.com/sound-effects/black-metal/
DOOR_Closet_rattle_squeak_open_close.wav,Shakes and Rattles,Antisample,http://www.sonniss.com/sound-effects/shakes-rattles/
DRAWER_RUNNER_SLIDES_shake_short_medium_long.wav,Shakes and Rattles,Antisample,http://www.sonniss.com/sound-effects/shakes-rattles/
LOCK_Metal_shake_rattle_short_medium.wav,Shakes and Rattles,Antisample,http://www.sonniss.com/sound-effects/shakes-rattles/
SCREWS_Box_plastic_metal_shake_rattle_short_medium_long.wav,Shakes and Rattles,Antisample,http://www.sonniss.com/sound-effects/shakes-rattles/
"FOUNTAIN Large, Splasher Spray at Playground, 3m Far.wav",100 Fountains,Articulated Sounds,http://www.sonniss.com/sound-effects/100-fountains/
"FOUNTAIN Medium, Invigorating Network of Dribbles, Close.wav",100 Fountains,Articulated Sounds,http://www.sonniss.com/sound-effects/100-fountains/
"FOUNTAIN Small, Splashes of Multiple Squirts on the Ground, Close.wav",100 Fountains,Articulated Sounds,http://www.sonniss.com/sound-effects/100-fountains/
"FOUNTAIN Underwater, Generous Gushing Flow.wav",100 Fountains,Articulated Sounds,http://www.sonniss.com/sound-effects/100-fountains/
"DICE on Felt, Throw and Roll, Standard, 5 Five Dice, v2.wav",Dice,Articulated Sounds,http://www.sonniss.com/sound-effects/dice/
"DICE on Felt, Throw and Roll, Standard, 16 Sixteen Dice, v1.wav",Dice,Articulated Sounds,http://www.sonniss.com/sound-effects/dice/
"DICE on Hard Wood, Throw and Roll , Standard, 2 Two Dice, v1.wav",Dice,Articulated Sounds,http://www.sonniss.com/sound-effects/dice/
"DICE on Neoprene, Throw and Roll, Mini, 1 One Die, v2.wav",Dice,Articulated Sounds,http://www.sonniss.com/sound-effects/dice/
GHOSTS Atmosphere Pishacha Turmoil.LR.wav,Ghosts,Articulated Sounds,http://www.sonniss.com/sound-effects/ghosts-ambisonics-stereo/
GHOSTS Pass-By Witchery Shiver.LR.wav,Ghosts,Articulated Sounds,http://www.sonniss.com/sound-effects/ghosts-ambisonics-stereo/
GHOSTS Spell Hocus Pocus 2.LR.wav,Ghosts,Articulated Sounds,http://www.sonniss.com/sound-effects/ghosts-ambisonics-stereo/
GHOSTS Tremor Disturbed Aura.LR.wav,Ghosts,Articulated Sounds,http://www.sonniss.com/sound-effects/ghosts-ambisonics-stereo/
ICE Hockey stick medium long scrape 22.wav,Ice Skating,Articulated Sounds,http://www.sonniss.com/sound-effects/ice-skating/
ICE Hockey stick short scrape 87.wav,Ice Skating,Articulated Sounds,http://www.sonniss.com/sound-effects/ice-skating/
ICE Skate move combination 13.wav,Ice Skating,Articulated Sounds,http://www.sonniss.com/sound-effects/ice-skating/
ICE Skater cloth move 10.wav,Ice Skating,Articulated Sounds,http://www.sonniss.com/sound-effects/ice-skating/
"QUIET STREET Back alley, people chatting, ST.wav",Quiet Streets,Articulated Sounds,http://www.sonniss.com/sound-effects/quiet-streets/
"QUIET STREET Night fast chirp crickets, distant activities, slight wind, ST.wav",Quiet Streets,Articulated Sounds,http://www.sonniss.com/sound-effects/quiet-streets/
"QUIET STREET Rain near sewer, ST.wav",Quiet Streets,Articulated Sounds,http://www.sonniss.com/sound-effects/quiet-streets/
"QUIET STREET Wet air, wind, sparse birds, ST.wav",Quiet Streets,Articulated Sounds,http://www.sonniss.com/sound-effects/quiet-streets/
ICE Thin Cracked Crust on Lake 16.wav,Thin Ice,Articulated Sounds,http://www.sonniss.com/sound-effects/thin-ice/
ICE Thin Crushed Crust by Foot 13.wav,Thin Ice,Articulated Sounds,http://www.sonniss.com/sound-effects/thin-ice/
ICE Thin Scrubbed Blocks Friction 04.wav,Thin Ice,Articulated Sounds,http://www.sonniss.com/sound-effects/thin-ice/
ICE Thin Smashed Brittle Fragments 55.wav,Thin Ice,Articulated Sounds,http://www.sonniss.com/sound-effects/thin-ice/
TROPICAL Mangrove at dusk mysterious grainy atmosphere.wav,Tropical Ambiences,Articulated Sounds,http://www.sonniss.com/sound-effects/tropical-ambiences/
TROPICAL Rainforest morning sheltered fresh woods under the canopy.wav,Tropical Ambiences,Articulated Sounds,http://www.sonniss.com/sound-effects/tropical-ambiences/
TROPICAL Rainforest night sleep with soft sparse bird calls.wav,Tropical Ambiences,Articulated Sounds,http://www.sonniss.com/sound-effects/tropical-ambiences/
TROPICAL Wetland swamp evening foaming frog dusk chorus.wav,Tropical Ambiences,Articulated Sounds,http://www.sonniss.com/sound-effects/tropical-ambiences/
Bluezone-BC0226-hit-impact-004.wav,Cinematic Trailer Sound Effects,Bluezone,http://www.sonniss.com/sound-effects/cinematic-trailer-sound-effects/
Bluezone-BC0226-sound-effect-009.wav,Cinematic Trailer Sound Effects,Bluezone,http://www.sonniss.com/sound-effects/cinematic-trailer-sound-effects/
Bluezone-BC0226-whoosh-impact-005.wav,Cinematic Trailer Sound Effects,Bluezone,http://www.sonniss.com/sound-effects/cinematic-trailer-sound-effects/
Bluezone-BC0226-whoosh-impact-012.wav,Cinematic Trailer Sound Effects,Bluezone,http://www.sonniss.com/sound-effects/cinematic-trailer-sound-effects/
Bluezone-BC0223-modulation-long-signal-tuning-016.wav,Signal Communication,Bluezone,http://www.sonniss.com/sound-effects/signal-communication/
Bluezone-BC0223-noise-cracke-014.wav,Signal Communication,Bluezone,http://www.sonniss.com/sound-effects/signal-communication/
Bluezone-BC0223-noise-radio-signal-025.wav,Signal Communication,Bluezone,http://www.sonniss.com/sound-effects/signal-communication/
Bluezone-BC0223-noise-radio-signal-029.wav,Signal Communication,Bluezone,http://www.sonniss.com/sound-effects/signal-communication/
Bluezone_BC0230_ambience_009.wav,Spectral Line - Cinematic Trailer Sounds,Bluezone,http://www.sonniss.com/sound-effects/spectral-line-cinematic-trailer-sounds/
Bluezone_BC0230_ambience_tonal_synth_014.wav,Spectral Line - Cinematic Trailer Sounds,Bluezone,http://www.sonniss.com/sound-effects/spectral-line-cinematic-trailer-sounds/
Bluezone_BC0230_sound_effect_006.wav,Spectral Line - Cinematic Trailer Sounds,Bluezone,http://www.sonniss.com/sound-effects/spectral-line-cinematic-trailer-sounds/
Bluezone_BC0230_synth_texture_022.wav,Spectral Line - Cinematic Trailer Sounds,Bluezone,http://www.sonniss.com/sound-effects/spectral-line-cinematic-trailer-sounds/
Bluezone-BC0227-synthetic-liquid-long-texture-016.wav,Synthetic Liquid Textures,Bluezone,http://www.sonniss.com/sound-effects/synthetic-liquid-textures/
Bluezone-BC0227-synthetic-liquid-short-texture-047.wav,Synthetic Liquid Textures,Bluezone,http://www.sonniss.com/sound-effects/synthetic-liquid-textures/
Bluezone-BC0227-synthetic-liquid-short-texture-057.wav,Synthetic Liquid Textures,Bluezone,http://www.sonniss.com/sound-effects/synthetic-liquid-textures/
Bluezone-BC0227-synthetic-liquid-short-texture-073.wav,Synthetic Liquid Textures,Bluezone,http://www.sonniss.com/sound-effects/synthetic-liquid-textures/
Bluezone-BC0224-impact-003.wav,Titanium - Cinematic Trailer Samples,Bluezone,http://www.sonniss.com/sound-effects/titanium-cinematic-trailer-samples/
Bluezone-BC0224-impact-016.wav,Titanium - Cinematic Trailer Samples,Bluezone,http://www.sonniss.com/sound-effects/titanium-cinematic-trailer-samples/
Bluezone-BC0224-rise-001.wav,Titanium - Cinematic Trailer Samples,Bluezone,http://www.sonniss.com/sound-effects/titanium-cinematic-trailer-samples/
Bluezone-BC0224-sequence-001.wav,Titanium - Cinematic Trailer Samples,Bluezone,http://www.sonniss.com/sound-effects/titanium-cinematic-trailer-samples/
Bluezone-BC0214-beep-mine-explosion-002.wav,War Zone (Designed Explosions),Bluezone,http://www.sonniss.com/sound-effects/war-zone-designed-explosion-sound-effects/
Bluezone-BC0214-beep-mine-explosion-007.wav,War Zone (Designed Explosions),Bluezone,http://www.sonniss.com/sound-effects/war-zone-designed-explosion-sound-effects/
Bluezone-BC0214-explosion-whooshe-003.wav,War Zone (Designed Explosions),Bluezone,http://www.sonniss.com/sound-effects/war-zone-designed-explosion-sound-effects/
Bluezone-BC0214-explosion-whooshe-020.wav,War Zone (Designed Explosions),Bluezone,http://www.sonniss.com/sound-effects/war-zone-designed-explosion-sound-effects/
"Gym, Boxing, Punching bag hits, chain perspective.wav",Gym weights,Borg Sound,http://www.sonniss.com/sound-effects/gym-weights/
"Gym, Foley, Barbell steel bar, place back in metal stand.wav",Gym weights,Borg Sound,http://www.sonniss.com/sound-effects/gym-weights/
"Gym, Foley, Barbell weight 10kg steel, add and remove from bar.wav",Gym weights,Borg Sound,http://www.sonniss.com/sound-effects/gym-weights/
"Gym, Foley, Drop metal handle on floor.wav",Gym weights,Borg Sound,http://www.sonniss.com/sound-effects/gym-weights/
"HD Sportster Iron 883, False start 2 and 3, L-Exhaust, R-Motor.wav",Harley Davidson Sportster Iron 883,Borg Sound,http://www.sonniss.com/sound-effects/harley-davidson-sportster-iron-883/
"HD Sportster Iron 883, Passby 100kmph, Asphalt surface, 2 variations.wav",Harley Davidson Sportster Iron 883,Borg Sound,http://www.sonniss.com/sound-effects/harley-davidson-sportster-iron-883/
"HD Sportster Iron 883, Start, Accelerate on the spot, shut down, Beside vehicle.wav",Harley Davidson Sportster Iron 883,Borg Sound,http://www.sonniss.com/sound-effects/harley-davidson-sportster-iron-883/
"HD Sportster Iron 883, Start, long idle, shut down, Beside vehicle.wav",Harley Davidson Sportster Iron 883,Borg Sound,http://www.sonniss.com/sound-effects/harley-davidson-sportster-iron-883/
01_Campana_Iglesia.wav,365 SFX,Byron Abadía,http://www.sonniss.com/sound-effects/365-sfx/
057_ Cocina_Organico_Fuego.wav,365 SFX,Byron Abadía,http://www.sonniss.com/sound-effects/365-sfx/
068_Cable_Whoosh.wav,365 SFX,Byron Abadía,http://www.sonniss.com/sound-effects/365-sfx/
338_Tambores.wav,365 SFX,Byron Abadía,http://www.sonniss.com/sound-effects/365-sfx/
City street large light voices and traffic rumble_02120215_120215_02.wav,Indonesia sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/indonesia-sound-library-faunethic/
Forest cold wind in alitude the morning_120208_00.wav,Indonesia sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/indonesia-sound-library-faunethic/
Music ceremony of galungan in street percussion bel ad cymbal - moving 2_120210_03.wav,Indonesia sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/indonesia-sound-library-faunethic/
Village quiet children voices hen chicken and light traffic away_120202_01.wav,Indonesia sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/indonesia-sound-library-faunethic/
"Desert canyon quiet, light birds and wind, large reverb_160821_006.wav",Jordan sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/jordan-sound-library-faunethic/
Market souk medium voices activity and vendor shout _160818_005.wav,Jordan sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/jordan-sound-library-faunethic/
"Muezzin from city very quiet at night from a roof top, wide reverb_160819_001.wav",Jordan sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/jordan-sound-library-faunethic/
"Village medium in a canyon voices activity and horses, wide reverb_160822_001.wav",Jordan sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/jordan-sound-library-faunethic/
"City place large music voices and light traffic away, taken from a roof top _160611_001.wav",Morocco sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/morocco-sound-library-faunethic/
"Market for chicken hen and bird outdoor, voices and activity_160612_004.wav",Morocco sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/morocco-sound-library-faunethic/
MUS Flute traditionnel rita with tambourine_160618_008.wav,Morocco sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/morocco-sound-library-faunethic/
Village early the morning birds and insects from a palm farm_160615_001.wav,Morocco sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/morocco-sound-library-faunethic/
City park birds traffic bell of a temple and muezzin from a mosque the evening_120513_02.wav,North India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/north-india-sound-library-faunethic/
Temple Hinduism indoor song singer and bells_120504_09.wav,North India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/north-india-sound-library-faunethic/
Train station announcement train horn and crowd away wide_120502_00.wav,North India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/north-india-sound-library-faunethic/
Village mountain very quiet and birds_120521_02.wav,North India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/north-india-sound-library-faunethic/
City Skyline rumble light voices and traffic away from a roof at night_140226_00.wav,Philippines sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/philippines-sound-library-faunethic/
Forest quiet birds and wind the morning_140313_00.wav,Philippines sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/philippines-sound-library-faunethic/
Village quiet chicken hen symphony early the morning_140306_01.wav,Philippines sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/philippines-sound-library-faunethic/
Village quiet insects birds dogs and light activity away_140301_04.wav,Philippines sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/philippines-sound-library-faunethic/
City place quiet birds bell light activity and animals 410.wav,South India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/south-india-sound-library-faunethic/
Forest frogs insects birds the morning 390.wav,South India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/south-india-sound-library-faunethic/
Jungle insects and birds passing wide the evening 313.wav,South India sound library by Faunethic,Charlie Atanasyan,http://www.sonniss.com/sound-effects/south-india-sound-library-faunethic/
